Sat Nov 26 16:56:23 2022    output.dat

         1997785 function calls (1949844 primitive calls) in 4.086 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      707    0.003    0.000    0.025    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsObject.py:21(itemChange)
     5303    0.002    0.000    0.002    0.000 {built-in method builtins.max}
     1219    0.002    0.000    0.004    0.000 {built-in method setRenderHint}
     1383    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:477(__exit__)
     1383    0.002    0.000    0.009    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/warnings.py:165(simplefilter)
      468    0.002    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/numeric.py:1410(moveaxis)
     9644    0.002    0.000    0.002    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/multiarray.py:736(dot)
     1572    0.002    0.000    0.002    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:72(<dictcomp>)
      513    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/functions.py:2177(create_qpolygonf)
      319    0.002    0.000    0.002    0.000 {built-in method drawPixmapFragments}
      458    0.002    0.000    0.005    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:626(_find_new_)
     1572    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
        1    0.002    0.002    0.002    0.002 {built-in method gc.get_objects}
     4450    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/ScatterPlotItem.py:218(__len__)
      513    0.002    0.000    0.030    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/PlotCurveItem.py:488(getPath)
    10035    0.002    0.000    0.002    0.000 {built-in method y}
     1218    0.002    0.000    0.002    0.000 {method '__copy__' of 'numpy.ndarray' objects}
     1822    0.002    0.000    0.006    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
      319    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/shape_base.py:81(atleast_2d)
      436    0.002    0.000    0.002    0.000 {method 'dot' of 'numpy.ndarray' objects}
     1374    0.002    0.000    0.007    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/enum.py:579(_get_mixins_)
     1822    0.002    0.000    0.014    0.000 <__array_function__ internals>:177(argmax)
     4895    0.002    0.000    0.013    0.000 {built-in method builtins.setattr}
     1218    0.002    0.000    0.002    0.000 /home/lucla/Programming/PyGJK/pygjk/tools.py:26(getRotation)
  176/138    0.002    0.000    0.018    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/graphicsItems/GraphicsItem.py:474(_updateView)
     1572    0.002    0.000    0.061    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/numpy/core/arrayprint.py:410(<lambda>)
     1383    0.002    0.000    0.002    0.000 {method 'remove' of 'list' objects}
     4278    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2149    0.002    0.000    0.003    0.000 /home/lucla/miniconda3/envs/pygjk/lib/python3.10/site-packages/pyqtgraph/Qt/__init__.py:345(isQObjectAlive)
     2003    0.002    0.000    0.002    0.000 {built-in method setMatrix}
